ticket_created_(america/sao_paulo),tickets
2025-04-01,142
2025-04-02,203
2025-04-03,169
2025-04-04,220
2025-04-05,38
2025-04-06,39
2025-04-07,199
2025-04-08,258
2025-04-09,169
2025-04-10,205
2025-04-11,163
2025-04-12,46
2025-04-13,50
2025-04-14,193
2025-04-15,152
2025-04-16,163
2025-04-17,156
2025-04-18,110
2025-04-19,60
2025-04-20,46
2025-04-21,89
2025-04-22,194
2025-04-23,195
2025-04-24,197
2025-04-25,203
2025-04-26,76
2025-04-27,31
2025-04-28,184
2025-04-29,239
2025-04-30,195
2025-05-01,113
2025-05-02,160
2025-05-03,61
2025-05-04,47
2025-05-05,183
2025-05-06,195
2025-05-07,182
2025-05-08,200
2025-05-09,167
2025-05-10,118
2025-05-11,28
2025-05-12,162
2025-05-13,230
2025-05-14,221
2025-05-15,231
2025-05-16,132
2025-05-17,77
2025-05-18,39
2025-05-19,234
2025-05-20,239
2025-05-21,258
2025-05-22,212
2025-05-23,248
2025-05-24,140
2025-05-25,33
2025-05-26,219
2025-05-27,197
2025-05-28,196
2025-05-29,196
2025-05-30,180
2025-05-31,73
